X,Y,gid,pop2009,county,subcounty,ward,uid,scuid,cuid
35.2009930456042,-0.890321128238341,2257.0,31215.000000000000000,Bomet,Chepalungu Sub County,Siongiroi Ward,zxVl78P6p8i,PUhMyfDD2xp,HMNARUV2CW4
35.4064565131551,-0.76570695074622,2258.0,29062.000000000000000,Bomet,Bomet East Sub County,Merigi Ward,sp794D1MvxT,OZNRpww2TUK,HMNARUV2CW4
35.4377460001979,-0.803069747119625,2259.0,26992.000000000000000,Bomet,Bomet East Sub County,Kembu Ward,Va67VduPAgZ,OZNRpww2TUK,HMNARUV2CW4
35.4062346209281,-0.853947419669661,2260.0,28365.000000000000000,Bomet,Bomet East Sub County,Longisa Ward,drrGwAxlRtW,OZNRpww2TUK,HMNARUV2CW4
35.3807722922149,-0.92157572646353,2261.0,23272.000000000000000,Bomet,Bomet East Sub County,Kipreres  Ward,dDmN1rie0ij,OZNRpww2TUK,HMNARUV2CW4
35.4930244709213,-0.810706009719279,2262.0,19233.000000000000000,Bomet,Bomet East Sub County,Chemaner Ward,qj9Id3LgrGI,OZNRpww2TUK,HMNARUV2CW4
35.3475172670959,-0.749609081249117,2263.0,28017.000000000000000,Bomet,Bomet Central Sub County,Silibwet Township Ward,tM4Bmyj48cN,m9gdonbVXjZ,HMNARUV2CW4
35.3732614303217,-0.680255283324462,2264.0,22059.000000000000000,Bomet,Bomet Central Sub County,Ndaraweta Ward,J4ZIAuamKlu,m9gdonbVXjZ,HMNARUV2CW4
35.3558524829453,-0.721542538178203,2265.0,21795.000000000000000,Bomet,Bomet Central Sub County,Singorwet Ward,wHeMr9JlYBi,m9gdonbVXjZ,HMNARUV2CW4
35.2882380905089,-0.693539169139276,2266.0,34476.000000000000000,Bomet,Bomet Central Sub County,Chesoen Ward,Nu4cnZtQHk8,m9gdonbVXjZ,HMNARUV2CW4
35.2512611503269,-0.773526459408904,2267.0,20679.000000000000000,Bomet,Bomet Central Sub County,Mutarakwa  Ward,g5eGcoROeya,m9gdonbVXjZ,HMNARUV2CW4
35.283096850886,-0.471075927366685,2268.0,25704.000000000000000,Bomet,Konoin Sub County,Chepchabas Ward,uMqAPTG5rm0,PLFoYJO8MVS,HMNARUV2CW4
40.5436435731604,-1.60157936921892,159.0,16055.000000000000000,GARISSA,Ijara Sub County,Ijara Ward,EgSwrsgfIho,l5E6PiIUs1J,uyOrcHZBpW0
